n;empresa;score;url_contacto;mensaje;demo_url;slug;lead_id;email;web
"116";"Villarreal Decor";"8";"https://www.decormadrid.es/contacto/";"";"https://presupuestos.nico-soto.es/demo/villarreal-decor";"villarreal-decor";"c3161ab9-f77e-4158-b8d1-f0175739634f";"info@decormadrid.es";"https://www.decormadrid.es/"
"117";"Reformas TVM";"8";"https://www.reformastvm.es/es/contacto";"";"https://presupuestos.nico-soto.es/demo/reformas-tvm";"reformas-tvm";"54b23817-e2dc-477c-b3a7-ddcafcc7035e";"trofinvilaroel@gmail.com";"http://reformastvm.es/"
"118";"Protrux Reformas";"8";"https://protrux.es/contacto/";"";"https://presupuestos.nico-soto.es/demo/protrux";"protrux";"cbc42e97-3e55-4d50-ac66-906e1deee0d0";"contacto@protrux.es";"https://www.protrux.es/"
"119";"Ramms Reform";"7";"https://www.rammsreform.es/";"";"https://presupuestos.nico-soto.es/demo/ramms-reform";"ramms-reform";"2110747a-c46e-4756-9eab-44ff77d9583d";"info@rammsreform.es";"https://www.rammsreform.es/"
"120";"Akiando Reforma";"7";"https://www.akiandoreforma.com/contact/";"";"https://presupuestos.nico-soto.es/demo/akiando";"akiando";"34c4b100-beb9-4d3b-825d-1bd64c88594b";"info@akiandoreforma.com";"https://www.akiandoreforma.com/"
"121";"J&M Construcción";"7";"https://www.jmconstruccion.es/index.php/solicitar-presupuesto";"";"https://presupuestos.nico-soto.es/demo/jm-construccion";"jm-construccion";"99785224-a75d-4ce3-a244-d7be9b8b1cdf";"info@jmconstruccion.es";"http://www.jmconstruccion.es/"
"122";"Reformas Cabacor";"7";"https://www.reformascabacor.es/contacto/";"";"https://presupuestos.nico-soto.es/demo/reformas-cabacor";"reformas-cabacor";"a99d74b5-44c9-4fb6-bbbc-ebd9564c4192";"ocaballero@reformascabacor.es";"http://www.reformascabacor.es/"
"123";"Reformas Galo";"7";"https://reformasgalo.es/contacto/";"";"https://presupuestos.nico-soto.es/demo/reformas-galo";"reformas-galo";"72141186-c50a-43b7-8ff9-6622f0df9da3";"reformasgalo@hotmail.com";"https://reformasgalo.es/"
"124";"Zasert";"7";"http://www.zasert.es/";"";"https://presupuestos.nico-soto.es/demo/zasert";"zasert";"451c3608-1cc2-4d02-a241-115da5110fa8";"info@zasert.es";"http://www.zasert.es/"
"125";"Reform You";"7";"https://reformyou.es/solicitud-presupuesto/";"";"https://presupuestos.nico-soto.es/demo/reform-you";"reform-you";"3665c79c-38d1-48ad-a97e-3e0db1e565a9";"info@reformyou.es";"https://reformyou.es/"
"126";"Asimetría Reformas";"7";"https://asimetria.es/contacto/";"";"https://presupuestos.nico-soto.es/demo/asimetria";"asimetria";"6a343837-43fa-49b4-b790-eca58e3cc55e";"info@asimetria.es";"https://asimetria.es/"
"127";"Reformas Atlanta";"7";"https://reformaspisosmadrid.es/contacto/";"";"https://presupuestos.nico-soto.es/demo/reformas-atlanta";"reformas-atlanta";"8f85b77c-28cd-498d-96de-0691c1386ac2";"contactoatlanta@gmail.com";"https://reformaspisosmadrid.es/"
"128";"Reformas Verli";"7";"https://cys-reformasverli.com/";"";"https://presupuestos.nico-soto.es/demo/reformas-verli";"reformas-verli";"4882bff0-e954-40f0-8f49-97140852987a";"reformasverli@hotmail.com";"https://cys-reformasverli.com/"
"129";"Reformas Marai";"7";"https://reformasmarai.com/contacto/";"";"https://presupuestos.nico-soto.es/demo/reformas-marai";"reformas-marai";"7e42dd78-b36f-4e95-86a8-9398e4ddc425";"info@reformasmarai.com";"http://www.reformasmarai.com/"
"130";"Prialum Reformas";"7";"https://reformasprialum.es/";"";"https://presupuestos.nico-soto.es/demo/prialum";"prialum";"5093cc57-fd5b-4c4f-8ad9-75799abaaedf";"prisancb@gmail.com";"https://reformasprialum.es/"
"131";"Duchaestilo";"7.5";"https://duchaestilo.com/duchaestilo-madrid";"";"https://presupuestos.nico-soto.es/demo/duchaestilo";"duchaestilo";"6382f845-139c-4fda-88ea-c234d2a918d2";"info@duchaestilo.com";"https://duchaestilo.com/"
"132";"Novaintéria";"7.5";"https://www.novainteria.es/contacto";"";"https://presupuestos.nico-soto.es/demo/novainteria";"novainteria";"8b08e261-f4e6-400f-9004-01798baa746e";"info@novainteria.es";"http://www.novainteria.es/"
"133";"Reformas Excot";"7.5";"https://reformasexcot.com/";"";"https://presupuestos.nico-soto.es/demo/excot";"excot";"10e8efeb-48bf-4ca0-839e-fd5bc209dedf";"info@reformasexcot.com";"https://reformasexcot.com/"
"134";"DCI Reformas Madrid";"7.5";"https://www.dcireformasmadrid.es/presupuestocerrado.html";"";"https://presupuestos.nico-soto.es/demo/dci-reformas";"dci-reformas";"5824e7a8-320f-492b-8d8d-a35c44c9ecfc";"info@dcireformasmadrid.es";"http://dcireformasmadrid.es/"
"135";"Arte en Baño";"7.5";"https://arteenbano.es/contacto/";"";"https://presupuestos.nico-soto.es/demo/arte-en-bano";"arte-en-bano";"3895fc27-5dc9-4b18-b1e9-b3301026dc13";"info@arteenbano.es";"http://www.arteenbano.es/"
