empresa,ciudad,nota,email,cluster,asunto,cuerpo,followup_asunto,followup_cuerpo,enviar,aviso
"Renovat Reformas","Alzira","9.0","info@reformasrenovat.com","Gancho","seis campos y ninguno de la obra","Hola,

Vi que tu ""Pide presupuesto sin compromiso"" pide seis datos (nombre, apellidos, email, teléfono, asunto y mensaje) y ninguno es sobre la reforma.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: seis campos y ninguno de la obra","Hola de nuevo,

¿Quién lleva los presupuestos en Renovat Reformas? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas y Pintores Nico","Gandia","8.5","pintoresnico@gmail.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Mestre Reformas","Gandia","8.5","info@mestrereformas.com","Gancho","¿precio cerrado en 48 h?","Hola,

Vi que prometes precios cerrados y presupuesto en menos de 48 horas, y que el formulario de contacto solo pide nombre, correo y mensaje.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: ¿precio cerrado en 48 h?","Hola de nuevo,

¿Quién lleva los presupuestos en Mestre Reformas? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Macamon Reformas Integrales","Gandia","7.5","macamoncho@gmail.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Hidro2 Grup","Gandia","7.5","info@hidro2grup.com","Gancho","medir en 48 horas","Hola,

Leí en tu web a un cliente que cuenta que fuisteis a medir en 48 horas y que tuvo el presupuesto en una semana. Me quedé pensando en cuántas de esas visitas acaban en nada.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: medir en 48 horas","Hola de nuevo,

¿Quién lleva los presupuestos en Hidro2 Grup? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas Antoine","Gandia","7.5","nikolaytsverkov@gmail.com","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas integrales Cuinex","Alzira","7.5","info@cuinexreformas.es","Gancho","el DNI, pero no los metros","Hola,

Vi que tu formulario pide el DNI del cliente, pero no qué quiere reformar ni cuántos metros tiene.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: el DNI, pero no los metros","Hola de nuevo,

¿Quién lleva los presupuestos en Cuinex? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Jesbal Habitatge","Gandia","7.0","info@jesbalhabitatge.es","Gancho","una integral de 100 m²","Hola,

Vi que en tu web explicas cuánto tarda una integral de unos 100 m² y que ayudas con la financiación. Justo lo que el cliente quiere saber antes de pedir presupuesto.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: una integral de 100 m²","Hola de nuevo,

¿Quién lleva los presupuestos en Jesbal Habitatge? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Gytech group","Llíria","7.0","info@gytechgroup.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Construcciones y Reformas Génesis","L'Eliana","6.5","contacto@reformasgenesis.com.es","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
