"n";"empresa";"score";"url_contacto";"mensaje";"demo_url";"slug";"lead_id";"email";"web"
"46";"Ecerotres Arquitectos";"6.5";"https://ecerotresarquitectos.com/contacto/";"Hola, equipo de Ecerotres Arquitectos:

En vuestra web explicáis bien el método: mediciones por partidas, presupuesto de obra, plan de obra y plazos. Pero antes de llegar ahí, el formulario solo os deja nombre, correo, teléfono y un mensaje, y cada solicitud empieza con una conversación para saber qué quiere reformar el cliente, cuántos metros tiene y con qué presupuesto cuenta. He montado una demo con vuestra marca para enseñaros cómo podría llegaros ese primer paso ya hecho:

https://presupuestos.nico-soto.es/demo/ecerotres

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/ecerotres";"ecerotres";"7854cfbf-aa70-497f-9eb4-066130b346b1";"estudio@ecerotresarquitectos.com";"https://ecerotresarquitectos.com"
"47";"extraMURS Arquitectura";"6.5";"https://extramurs.com/contacto/";"Hola, equipo de extraMURS:

Vuestro blog responde cuánto cuesta construir una casa o una licencia de obra, y ofrecéis calcular una estimación de precio y plazos. Pero quien llega al formulario solo puede contaros en ""¿Qué necesitas?"" lo que tiene en mente, y esa estimación la preparáis vosotros después, a mano. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada reforma ya explicada, con metros, alcance, plazo e inversión:

https://presupuestos.nico-soto.es/demo/extramurs

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/extramurs";"extramurs";"4b88a3fc-ae16-43e5-869b-8e9084991272";"info@extramurs.com";"https://extramurs.com"
"48";"Proyecta Lara";"6.5";"https://proyectalara.es/";"Hola, equipo de Proyecta Lara:

Prometéis reformas llave en mano con plazo y presupuesto cerrado, ajustadas a lo que puede invertir cada cliente. Pero para pediros información, en la web solo se puede dejar un email y poco más: no sabéis qué quiere reformar, cuántos metros tiene ni con cuánto cuenta hasta que habláis con él. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada proyecto ya definido:

https://presupuestos.nico-soto.es/demo/proyecta-lara

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/proyecta-lara";"proyecta-lara";"742a2f3c-7f0c-44fd-80ca-2f56525e36f0";"comercial@proyectalara.es";"https://proyectalara.es"
"49";"Construcciones OLBE";"6.5";"https://construccionesolbe.com/";"Hola, equipo de Construcciones OLBE:

Hacéis desde obra pequeña, una cocina o un baño, hasta reformas integrales llave en mano y trabajos en fincas, y todo os llega por el mismo formulario de nombre, email y mensaje. Hasta que no habláis con el cliente no sabéis cuál de todos es ni si merece la pena ir a verlo. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada solicitud ya explicada:

https://presupuestos.nico-soto.es/demo/construcciones-olbe

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/construcciones-olbe";"construcciones-olbe";"123e0cbb-1fb2-4c85-9410-901a39d3e425";"info@construccionesoliver.es";"https://www.construccionesolbe.com"
"50";"Construcciones y Reformas Clurjor";"6.5";"http://clurjor.com/contacto/";"Hola, equipo de Clurjor:

Vuestro formulario pregunta ""¿Qué necesitas?"" y ""Explícanos un poco más"", que ya es más que muchos. Pero ahí cabe igual un baño que un local entero, y los metros, el plazo o la inversión los tenéis que sacar después, llamada a llamada. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada reforma ya explicada:

https://presupuestos.nico-soto.es/demo/clurjor

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/clurjor";"clurjor";"a3891144-6436-4da0-850d-a5b41a50842d";"info@clurjor.com";"http://www.clurjor.com"
"51";"NCA Interiores";"6.5";"https://ncainteriores.es/contacto/";"Hola, equipo de NCA Interiores:

Ya enseñáis la cocina en un 3D realista antes de hacerla, así que vuestro cliente entiende el valor de saber cómo quedará antes de decidir. Pero para llegar a ese punto la solicitud sigue siendo nombre, teléfono y un comentario, y las medidas, el alcance y la inversión los recogéis vosotros después. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada proyecto ya explicado:

https://presupuestos.nico-soto.es/demo/nca-interiores

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/nca-interiores";"nca-interiores";"24a9cc77-bc8b-4bcc-b83d-27bb308c8932";"administracion@ncainteriores.es";"https://ncainteriores.es"
"52";"Obralis";"6.5";"https://obralis.es/contacto/";"Hola, equipo de Obralis:

Vuestra web promete ""Presupuesto Ahora"" y un presupuesto ágil y gratis, pero el formulario pide nombre, teléfono, email y asunto, y después toca llamar y hacer la visita. El ""ahora"" empieza varios días más tarde. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada reforma ya explicada antes de coger el teléfono:

https://presupuestos.nico-soto.es/demo/obralis

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/obralis";"obralis";"027a3de7-6369-4b1e-97f7-14f8509bf2ac";"";"https://obralis.es"
"53";"Mesform Interiorismo";"6.0";"https://www.mesform.es/contactame/";"Hola, equipo de Mesform:

Hacéis desde muebles y vestidores a medida hasta reformas integrales, y vuestro ""Contáctame"" lo recibe todo igual: nombre, email y mensaje. Hasta que no habláis con el cliente no sabéis si es un armario o un piso entero. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada proyecto ya explicado:

https://presupuestos.nico-soto.es/demo/mesform

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/mesform";"mesform";"f91f8b62-c4d3-4c3b-98a9-6ba6882d2441";"info@mesform.es";"http://mesform.es"
"54";"Tres i Tres Interiorismo";"6.0";"https://3itres.com/contacto/";"Hola, equipo de Tres i Tres:

Ponéis mucho el foco en la gestión de plazos y en garantizar las fechas de entrega, pero cada ""pídenos presupuesto"" os llega como nombre, email, teléfono, asunto y mensaje. Los días que se van en entender qué quiere el cliente antes de presupuestar también cuentan en el plazo. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada reforma ya explicada:

https://presupuestos.nico-soto.es/demo/tres-i-tres

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/tres-i-tres";"tres-i-tres";"dc0eb71f-4008-4909-bc5c-56bc15ccbdc5";"info@3itres.com";"http://3itres.com"
"55";"Reformas Escrivá Sanjuan";"6.0";"https://escrivasanjuan.com/contacto";"Hola, equipo de Reformas Escrivá Sanjuan:

Lleváis más de 35 años haciendo reformas en Gandia y la Safor y ofrecéis presupuesto sin compromiso, pero el formulario pregunta nombre, email, teléfono y asunto, y nada de la reforma. Todo lo que determina el presupuesto lo averiguáis después. He montado una demo con vuestra marca para enseñaros cómo podría llegaros cada solicitud ya explicada:

https://presupuestos.nico-soto.es/demo/escriva-sanjuan

Son solo dos minutos y sin compromiso.";"https://presupuestos.nico-soto.es/demo/escriva-sanjuan";"escriva-sanjuan";"04c36dd0-f52a-478c-9ca7-34d0de1ac174";"comercial@escrivasanjuan.com";"http://www.escrivasanjuan.com"
