empresa,ciudad,nota,email,cluster,asunto,cuerpo,followup_asunto,followup_cuerpo,enviar,aviso
"Gabi Reformas","Torrent","","info@gabireformas.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Reformas Bailen","Paterna","","jbailenvillanueva.jlb@gmail.com","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas & Mantenimiento - Grupo G","Sagunt","","reformasgrupog@gmail.com","Gancho","¿un plato de ducha o 120 m²?","Hola,

Vi que en tu formulario el cliente describe el proyecto en texto libre, y ahí cabe desde un plato de ducha hasta una integral de 120 m².

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: ¿un plato de ducha o 120 m²?","Hola de nuevo,

¿Quién lleva los presupuestos en Reformas & Mantenimiento - Grupo G? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Azahar Reformas Valencia","València","","hola@azaharreformasvalencia.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Todo Reformas Valencia","València","","contacto@todoreformasvalencia.com","Gancho","nombre, apellido y email","Hola,

Vi que sales por ""presupuesto reforma piso Valencia"", y ese tráfico llega a un formulario de nombre, apellido y email.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: nombre, apellido y email","Hola de nuevo,

¿Quién lleva los presupuestos en Todo Reformas Valencia? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas Orcu","Picassent","","reformasorcu@gmail.com","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"OBRAS VIP","Xirivella","","info@obrasvip.com","Gancho","sabes cuándo, pero no qué","Hola,

Vi que en tu página de presupuesto ya preguntas cuándo quiere hacer la obra el cliente, cosa que casi nadie pregunta. Me quedé pensando en el paso siguiente: qué obra y de qué tamaño.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: sabes cuándo, pero no qué","Hola de nuevo,

¿Quién lleva los presupuestos en OBRAS VIP? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"BONO PROYECTOS","Catarroja","","administracion@bonoproyectos.com","Gancho","¿cuánto cuesta una llave en mano?","Hola,

Vi que haces llave en mano, que es justo lo que el cliente quiere tener presupuestado antes de nada.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: ¿cuánto cuesta una llave en mano?","Hola de nuevo,

¿Quién lleva los presupuestos en BONO PROYECTOS? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE","Email corregido: la web publica info@bonoporyectos.com (errata, sin MX); este es el de la ficha."
"VGA Proyectos y Reformas","Massamagrell","","info@vgareformas.es","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"Valltro (Grupo Expovall)","Puerto de Sagunto","","presupuestos@grupoexpovall.com","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
