empresa,ciudad,nota,email,cluster,asunto,cuerpo,followup_asunto,followup_cuerpo,enviar,aviso
"Ecerotres Arquitectos","Alboraya","6.5","estudio@ecerotresarquitectos.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"extraMURS Arquitectura","Alboraya","6.5","info@extramurs.com","Gancho","¿qué necesitas?","Hola,

Vi que en tu formulario todo lo de la obra cabe en un solo campo: ""¿Qué necesitas?"".

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: ¿qué necesitas?","Hola de nuevo,

¿Quién lleva los presupuestos en extraMURS? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Proyecta Lara","Paterna","6.5","comercial@proyectalara.es","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Construcciones OLBE","Aldaia","6.5","info@construccionesoliver.es","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","FALSE","Email de otro dominio (construccionesoliver.es). Confirmar que es de OLBE antes de enviar."
"Construcciones y Reformas Clurjor","Aldaia","6.5","info@clurjor.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
"NCA Interiores","Alaquàs","6.5","administracion@ncainteriores.es","Gancho","el 3D antes de la obra","Hola,

Vi que enseñas la cocina en 3D antes de hacerla, así que tu cliente ya entiende lo que vale saber cómo quedará antes de decidir.

Estoy montando una herramienta para empresas de reformas: el cliente contesta en tu web metros, estancias, calidades y cuánto quiere invertir, y te llega una estimación antes de la visita.

Así se ve: {link_demo}

¿Te encaja? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: el 3D antes de la obra","Hola de nuevo,

¿Quién lleva los presupuestos en NCA Interiores? Si no eres tú, ¿me dices a quién le paso la demo?

{link_demo}

Si no os interesa, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Obralis","València","6.5","","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","FALSE","Sin email: solo formulario o WhatsApp."
"Mesform Interiorismo","Cullera","6.0","info@mesform.es","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE","La ficha de Google trae un email de relleno; este es el de su web."
"Tres i Tres Interiorismo","Paterna","6.0","info@3itres.com","Curiosidad","he probado tu formulario","Hola,

Entré en tu web a ver cómo se pide presupuesto (no te envié nada, tranquilo). Estoy montando algo para empresas de reformas y quería ver cómo lo hacéis.

La idea es que el cliente, en vez de dejar solo nombre y teléfono, conteste metros, estancias, calidades y presupuesto, y a ti te llegue una estimación antes de la visita.

Así se ve: {link_demo}

¿Te serviría o me estoy equivocando? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: he probado tu formulario","Hola de nuevo,

Solo una pregunta, se contesta con una frase: cuando te entra una solicitud por la web, ¿llamas tú al cliente para preguntar metros y presupuesto, o vas directamente a verlo?

Me ayuda mucho saber cómo lo hacéis. Y si no te interesa el tema, lo dejo aquí.

Nico Soto
nico-soto.es","TRUE",""
"Reformas Escrivá Sanjuan","Gandia","6.0","comercial@escrivasanjuan.com","Dolor","presupuestar sin saber los metros","Hola,

Una pregunta rápida: ¿cuántas visitas de medición hacéis al mes para reformas que luego no salen?

He montado una herramienta para eso. El cliente contesta en tu web unas preguntas (metros, estancias, calidades y cuánto quiere invertir) y te llega una estimación antes de mover el coche.

Así se ve: {link_demo}

¿Te encaja o lo estoy enfocando mal? Si no te interesa, dímelo y no vuelvo a escribir.

Nico Soto
nico-soto.es","Re: presupuestar sin saber los metros","Hola de nuevo,

Último mensaje, prometido. Si tienes un minuto, prueba la demo como si fueras un cliente que quiere reformar su piso: verás exactamente lo que te llegaría a ti.

{link_demo}

Si no es para vosotros, ningún problema. No escribo más.

Nico Soto
nico-soto.es","TRUE",""
